,Emotion,Average Score,Affect
0,anger,0.34700642505354834,Neutral
2,fear,0.31105061264283235,Neutral
4,sadness,0.31104779995674986,Neutral
6,joy,0.28523142354242736,Neutral
3,neutral,0.273437098837194,Neutral
1,disgust,0.22000025110928534,Neutral
7,love,0.20156462498707692,Neutral
5,surprise,0.17966843285020204,Neutral
